Method,TPR,FPR,Precision,Recall,ROC AUC,PR AUC,Confusion Matrix
SVC,"[0.         0.0112     0.0112     0.0112     0.0112     0.0122
 0.0122     0.0122     0.0122     0.0122     0.0152     0.0152
 0.0152     0.0152     0.0152     0.02070909 0.0207697  0.0208303
 0.02089091 0.02095152 0.0257     0.0257     0.0257     0.0257
 0.0257     0.0341     0.0341     0.0341     0.0341     0.0341
 0.04561818 0.04567879 0.04573939 0.0458     0.04586061 0.0589
 0.0589     0.0589     0.0589     0.0589     0.07761616 0.07765657
 0.07769697 0.07773737 0.07777778 0.09817273 0.09833434 0.09849596
 0.09865758 0.09881919 0.1246101  0.1246303  0.12465051 0.12467071
 0.12469091 0.15265556 0.15275657 0.15285758 0.15295859 0.1530596
 0.18556061 0.18566162 0.18576263 0.18586364 0.18596465 0.22104444
 0.22126667 0.22148889 0.22171111 0.22193333 0.26110505 0.26139798
 0.26169091 0.26198384 0.26227677 0.31769394 0.31788586 0.31807778
 0.3182697  0.31846162 0.38471313 0.38485455 0.38499596 0.38513737
 0.38527879 0.48303182 0.48330455 0.48357727 0.48385    0.48412273
 0.60531364 0.60605101 0.60678838 0.60752576 0.60826313 0.77536768
 0.77617576 0.77698384 0.77779192 1.        ]","[0.         0.01010101 0.02020202 0.03030303 0.04040404 0.05050505
 0.06060606 0.07070707 0.08080808 0.09090909 0.1010101  0.11111111
 0.12121212 0.13131313 0.14141414 0.15151515 0.16161616 0.17171717
 0.18181818 0.19191919 0.2020202  0.21212121 0.22222222 0.23232323
 0.24242424 0.25252525 0.26262626 0.27272727 0.28282828 0.29292929
 0.3030303  0.31313131 0.32323232 0.33333333 0.34343434 0.35353535
 0.36363636 0.37373737 0.38383838 0.39393939 0.4040404  0.41414141
 0.42424242 0.43434343 0.44444444 0.45454545 0.46464646 0.47474747
 0.48484848 0.49494949 0.50505051 0.51515152 0.52525253 0.53535354
 0.54545455 0.55555556 0.56565657 0.57575758 0.58585859 0.5959596
 0.60606061 0.61616162 0.62626263 0.63636364 0.64646465 0.65656566
 0.66666667 0.67676768 0.68686869 0.6969697  0.70707071 0.71717172
 0.72727273 0.73737374 0.74747475 0.75757576 0.76767677 0.77777778
 0.78787879 0.7979798  0.80808081 0.81818182 0.82828283 0.83838384
 0.84848485 0.85858586 0.86868687 0.87878788 0.88888889 0.8989899
 0.90909091 0.91919192 0.92929293 0.93939394 0.94949495 0.95959596
 0.96969697 0.97979798 0.98989899 1.        ]","[1.         0.80536027 0.82672054 0.84808081 0.86944108 0.88212576
 0.88997424 0.89782273 0.90567121 0.9135197  0.90542451 0.91012196
 0.91481941 0.91951686 0.92421431 0.90840255 0.91170526 0.91500797
 0.91831068 0.92161339 0.90897972 0.91182275 0.91466578 0.91750882
 0.92035185 0.90072558 0.90334219 0.90595879 0.9085754  0.911192
 0.88874931 0.89116247 0.89357563 0.8959888  0.89840196 0.87498888
 0.87748345 0.87997803 0.88247261 0.88496719 0.8559559  0.85846861
 0.86098131 0.86349401 0.86600671 0.83872831 0.84109312 0.84345794
 0.84582275 0.84818756 0.81812743 0.82067816 0.82322888 0.82577961
 0.82833034 0.79912582 0.80159622 0.80406662 0.80653703 0.80900743
 0.77895564 0.781456   0.78395635 0.7864567  0.78895705 0.76011862
 0.76250891 0.76489921 0.7672895  0.76967979 0.74167969 0.74398035
 0.74628102 0.74858168 0.75088234 0.71512071 0.71751823 0.71991576
 0.72231329 0.72471081 0.68874012 0.69118168 0.69362325 0.69606481
 0.69850637 0.65128658 0.65370635 0.65612612 0.65854589 0.66096566
 0.61120641 0.61343321 0.61566    0.61788679 0.62011359 0.56005528
 0.56229559 0.5645359  0.56677621 0.56901652]","[0.         0.01010101 0.02020202 0.03030303 0.04040404 0.05050505
 0.06060606 0.07070707 0.08080808 0.09090909 0.1010101  0.11111111
 0.12121212 0.13131313 0.14141414 0.15151515 0.16161616 0.17171717
 0.18181818 0.19191919 0.2020202  0.21212121 0.22222222 0.23232323
 0.24242424 0.25252525 0.26262626 0.27272727 0.28282828 0.29292929
 0.3030303  0.31313131 0.32323232 0.33333333 0.34343434 0.35353535
 0.36363636 0.37373737 0.38383838 0.39393939 0.4040404  0.41414141
 0.42424242 0.43434343 0.44444444 0.45454545 0.46464646 0.47474747
 0.48484848 0.49494949 0.50505051 0.51515152 0.52525253 0.53535354
 0.54545455 0.55555556 0.56565657 0.57575758 0.58585859 0.5959596
 0.60606061 0.61616162 0.62626263 0.63636364 0.64646465 0.65656566
 0.66666667 0.67676768 0.68686869 0.6969697  0.70707071 0.71717172
 0.72727273 0.73737374 0.74747475 0.75757576 0.76767677 0.77777778
 0.78787879 0.7979798  0.80808081 0.81818182 0.82828283 0.83838384
 0.84848485 0.85858586 0.86868687 0.87878788 0.88888889 0.8989899
 0.90909091 0.91919192 0.92929293 0.93939394 0.94949495 0.95959596
 0.96969697 0.97979798 0.98989899 1.        ]",0.7305,0.7305,"[[14.448  5.552]
 [ 5.228 14.772]]"
RandomForest,"[0.         0.00430707 0.00501414 0.00572121 0.00642828 0.00993067
 0.01054414 0.01115761 0.01177108 0.01238455 0.01915835 0.02037519
 0.02159202 0.02280886 0.02402569 0.03000005 0.03160039 0.03320072
 0.03480106 0.0364014  0.04443951 0.04672874 0.04901796 0.05130719
 0.05359641 0.06084077 0.06335054 0.0658603  0.06837007 0.07087983
 0.07997909 0.08245384 0.08492859 0.08740333 0.08987808 0.10042017
 0.10337303 0.10632589 0.10927875 0.11223162 0.1249311  0.12850051
 0.13206991 0.13563932 0.13920873 0.14898641 0.1536853  0.15838419
 0.16308309 0.16778198 0.18001171 0.18457227 0.18913282 0.19369338
 0.19825394 0.21400005 0.21962526 0.22525046 0.23087567 0.23650087
 0.25310749 0.25886838 0.26462928 0.27039017 0.27615107 0.2953176
 0.30262563 0.30993367 0.3172417  0.32454973 0.34712962 0.35511172
 0.36309383 0.37107594 0.37905804 0.40884441 0.41749886 0.42615331
 0.43480776 0.44346221 0.47620896 0.48635379 0.49649862 0.50664345
 0.51678828 0.55919402 0.56941052 0.57962702 0.58984352 0.60006002
 0.66184379 0.6728017  0.68375961 0.69471753 0.70567544 0.78487138
 0.79355354 0.80223569 0.81091785 1.        ]","[0.         0.01010101 0.02020202 0.03030303 0.04040404 0.05050505
 0.06060606 0.07070707 0.08080808 0.09090909 0.1010101  0.11111111
 0.12121212 0.13131313 0.14141414 0.15151515 0.16161616 0.17171717
 0.18181818 0.19191919 0.2020202  0.21212121 0.22222222 0.23232323
 0.24242424 0.25252525 0.26262626 0.27272727 0.28282828 0.29292929
 0.3030303  0.31313131 0.32323232 0.33333333 0.34343434 0.35353535
 0.36363636 0.37373737 0.38383838 0.39393939 0.4040404  0.41414141
 0.42424242 0.43434343 0.44444444 0.45454545 0.46464646 0.47474747
 0.48484848 0.49494949 0.50505051 0.51515152 0.52525253 0.53535354
 0.54545455 0.55555556 0.56565657 0.57575758 0.58585859 0.5959596
 0.60606061 0.61616162 0.62626263 0.63636364 0.64646465 0.65656566
 0.66666667 0.67676768 0.68686869 0.6969697  0.70707071 0.71717172
 0.72727273 0.73737374 0.74747475 0.75757576 0.76767677 0.77777778
 0.78787879 0.7979798  0.80808081 0.81818182 0.82828283 0.83838384
 0.84848485 0.85858586 0.86868687 0.87878788 0.88888889 0.8989899
 0.90909091 0.91919192 0.92929293 0.93939394 0.94949495 0.95959596
 0.96969697 0.97979798 0.98989899 1.        ]","[1.         0.93582876 0.93565753 0.93548629 0.93531506 0.91124027
 0.91299809 0.9147559  0.91651372 0.91827154 0.88619251 0.88691524
 0.88763797 0.8883607  0.88908343 0.87071496 0.87044874 0.87018253
 0.86991631 0.86965009 0.85045093 0.849266   0.84808108 0.84689615
 0.84571123 0.8334507  0.83245395 0.83145721 0.83046046 0.82946372
 0.8149668  0.81466067 0.81435454 0.81404842 0.81374229 0.80028078
 0.799677   0.79907321 0.79846943 0.79786565 0.78324045 0.78231692
 0.78139339 0.78046985 0.77954632 0.77129364 0.76936326 0.76743288
 0.7655025  0.76357212 0.75349812 0.75226796 0.75103779 0.74980763
 0.74857746 0.73698468 0.73539202 0.73379935 0.73220669 0.73061402
 0.7200066  0.71859181 0.71717701 0.71576222 0.71434743 0.70381508
 0.70173947 0.69966387 0.69758826 0.69551265 0.68390831 0.68181325
 0.67971818 0.67762311 0.67552805 0.66121862 0.65928502 0.65735141
 0.65541781 0.65348421 0.63912179 0.63696168 0.63480158 0.63264148
 0.63048138 0.61383187 0.61208128 0.6103307  0.60858011 0.60682952
 0.58522407 0.58365323 0.58208239 0.58051155 0.57894071 0.5541138
 0.55375341 0.55339301 0.55303261 0.55267221]","[0.         0.01010101 0.02020202 0.03030303 0.04040404 0.05050505
 0.06060606 0.07070707 0.08080808 0.09090909 0.1010101  0.11111111
 0.12121212 0.13131313 0.14141414 0.15151515 0.16161616 0.17171717
 0.18181818 0.19191919 0.2020202  0.21212121 0.22222222 0.23232323
 0.24242424 0.25252525 0.26262626 0.27272727 0.28282828 0.29292929
 0.3030303  0.31313131 0.32323232 0.33333333 0.34343434 0.35353535
 0.36363636 0.37373737 0.38383838 0.39393939 0.4040404  0.41414141
 0.42424242 0.43434343 0.44444444 0.45454545 0.46464646 0.47474747
 0.48484848 0.49494949 0.50505051 0.51515152 0.52525253 0.53535354
 0.54545455 0.55555556 0.56565657 0.57575758 0.58585859 0.5959596
 0.60606061 0.61616162 0.62626263 0.63636364 0.64646465 0.65656566
 0.66666667 0.67676768 0.68686869 0.6969697  0.70707071 0.71717172
 0.72727273 0.73737374 0.74747475 0.75757576 0.76767677 0.77777778
 0.78787879 0.7979798  0.80808081 0.81818182 0.82828283 0.83838384
 0.84848485 0.85858586 0.86868687 0.87878788 0.88888889 0.8989899
 0.90909091 0.91919192 0.92929293 0.93939394 0.94949495 0.95959596
 0.96969697 0.97979798 0.98989899 1.        ]",0.6834000000000001,0.6834000000000001,"[[14.528  5.472]
 [ 7.192 12.808]]"
LogisticRegression,"[0.         0.0118     0.0118     0.0118     0.0118     0.0287
 0.0287     0.0287     0.0287     0.0287     0.0464     0.0464
 0.0464     0.0464     0.0464     0.0641     0.0641     0.0641
 0.0641     0.0641     0.0808     0.0808     0.0808     0.0808
 0.0808     0.1        0.1        0.1        0.1        0.1
 0.118      0.118      0.118      0.118      0.118      0.13973535
 0.13983636 0.13993737 0.14003838 0.14013939 0.1593     0.1593
 0.1593     0.1593     0.1593     0.18471818 0.18475859 0.18479899
 0.18483939 0.1848798  0.21738081 0.21754242 0.21770404 0.21786566
 0.21802727 0.25152222 0.25174444 0.25196667 0.25218889 0.25241111
 0.2907303  0.29111414 0.29149798 0.29188182 0.29226566 0.33392323
 0.33426667 0.3346101  0.33495354 0.33529697 0.38760404 0.38803838
 0.38847273 0.38890707 0.38934141 0.44078485 0.44109798 0.44141111
 0.44172424 0.44203737 0.50952323 0.50992727 0.51033131 0.51073535
 0.51113939 0.60233737 0.60249899 0.60266061 0.60282222 0.60298384
 0.71699091 0.71709192 0.71719293 0.71729394 0.71739495 0.87073838
 0.87077879 0.87081919 0.8708596  1.        ]","[0.         0.01010101 0.02020202 0.03030303 0.04040404 0.05050505
 0.06060606 0.07070707 0.08080808 0.09090909 0.1010101  0.11111111
 0.12121212 0.13131313 0.14141414 0.15151515 0.16161616 0.17171717
 0.18181818 0.19191919 0.2020202  0.21212121 0.22222222 0.23232323
 0.24242424 0.25252525 0.26262626 0.27272727 0.28282828 0.29292929
 0.3030303  0.31313131 0.32323232 0.33333333 0.34343434 0.35353535
 0.36363636 0.37373737 0.38383838 0.39393939 0.4040404  0.41414141
 0.42424242 0.43434343 0.44444444 0.45454545 0.46464646 0.47474747
 0.48484848 0.49494949 0.50505051 0.51515152 0.52525253 0.53535354
 0.54545455 0.55555556 0.56565657 0.57575758 0.58585859 0.5959596
 0.60606061 0.61616162 0.62626263 0.63636364 0.64646465 0.65656566
 0.66666667 0.67676768 0.68686869 0.6969697  0.70707071 0.71717172
 0.72727273 0.73737374 0.74747475 0.75757576 0.76767677 0.77777778
 0.78787879 0.7979798  0.80808081 0.81818182 0.82828283 0.83838384
 0.84848485 0.85858586 0.86868687 0.87878788 0.88888889 0.8989899
 0.90909091 0.91919192 0.92929293 0.93939394 0.94949495 0.95959596
 0.96969697 0.97979798 0.98989899 1.        ]","[1.         0.81542761 0.83485522 0.85428283 0.87371044 0.75911229
 0.77402475 0.78893721 0.80384966 0.81876212 0.74857322 0.75980538
 0.77103754 0.7822697  0.79350187 0.74210697 0.75111114 0.76011531
 0.76911948 0.77812365 0.74406349 0.75137953 0.75869556 0.76601159
 0.77332762 0.74285681 0.74898938 0.75512196 0.76125453 0.76738711
 0.74234281 0.74764438 0.75294595 0.75824751 0.76354908 0.73629736
 0.7409353  0.74557324 0.75021118 0.75484911 0.73396636 0.73823467
 0.74250298 0.74677129 0.7510396  0.7263995  0.73030191 0.73420432
 0.73810674 0.74200915 0.71264774 0.71622875 0.71980976 0.72339078
 0.72697179 0.70027978 0.70361084 0.70694189 0.71027295 0.713604
 0.68680028 0.68984806 0.69289584 0.69594363 0.69899141 0.67275328
 0.67568688 0.67862048 0.68155408 0.68448768 0.65558018 0.65833675
 0.66109331 0.66384988 0.66660644 0.64137023 0.6440862  0.64680216
 0.64951813 0.6522341  0.62227488 0.62485562 0.62743637 0.63001711
 0.63259786 0.59627631 0.59891351 0.60155071 0.6041879  0.6068251
 0.56612172 0.56871489 0.57130805 0.57390121 0.57649438 0.52768705
 0.53023338 0.53277971 0.53532604 0.53787237]","[0.         0.01010101 0.02020202 0.03030303 0.04040404 0.05050505
 0.06060606 0.07070707 0.08080808 0.09090909 0.1010101  0.11111111
 0.12121212 0.13131313 0.14141414 0.15151515 0.16161616 0.17171717
 0.18181818 0.19191919 0.2020202  0.21212121 0.22222222 0.23232323
 0.24242424 0.25252525 0.26262626 0.27272727 0.28282828 0.29292929
 0.3030303  0.31313131 0.32323232 0.33333333 0.34343434 0.35353535
 0.36363636 0.37373737 0.38383838 0.39393939 0.4040404  0.41414141
 0.42424242 0.43434343 0.44444444 0.45454545 0.46464646 0.47474747
 0.48484848 0.49494949 0.50505051 0.51515152 0.52525253 0.53535354
 0.54545455 0.55555556 0.56565657 0.57575758 0.58585859 0.5959596
 0.60606061 0.61616162 0.62626263 0.63636364 0.64646465 0.65656566
 0.66666667 0.67676768 0.68686869 0.6969697  0.70707071 0.71717172
 0.72727273 0.73737374 0.74747475 0.75757576 0.76767677 0.77777778
 0.78787879 0.7979798  0.80808081 0.81818182 0.82828283 0.83838384
 0.84848485 0.85858586 0.86868687 0.87878788 0.88888889 0.8989899
 0.90909091 0.91919192 0.92929293 0.93939394 0.94949495 0.95959596
 0.96969697 0.97979798 0.98989899 1.        ]",0.6676500000000001,0.6676500000000001,"[[13.036  6.964]
 [ 6.33  13.67 ]]"
KNN,"[0.         0.00280561 0.00561123 0.00841684 0.01122245 0.01402814
 0.0168351  0.01964206 0.02244902 0.02525598 0.02805216 0.03075139
 0.03345061 0.03614984 0.03884906 0.04154661 0.04423467 0.04692273
 0.04961079 0.05229884 0.05500492 0.05778304 0.06056116 0.06333929
 0.06611741 0.06897152 0.07205356 0.0751356  0.07821763 0.08129967
 0.08448557 0.0879138  0.09134204 0.09477027 0.0981985  0.10173258
 0.1054632  0.10919383 0.11292446 0.11665509 0.12051424 0.12456618
 0.12861811 0.13267005 0.13672198 0.14090572 0.14525056 0.1495954
 0.15394024 0.15828508 0.1628714  0.16769919 0.17252698 0.17735476
 0.18218255 0.18739092 0.19291066 0.1984304  0.20395015 0.20946989
 0.21584298 0.22278497 0.22972696 0.23666895 0.24361094 0.25160128
 0.26015611 0.26871095 0.27726578 0.28582062 0.29684787 0.30793474
 0.31902161 0.33010848 0.34119535 0.35539269 0.36982686 0.38426102
 0.39869519 0.41312936 0.43145306 0.44924915 0.46704523 0.48484132
 0.50263741 0.52654702 0.54788844 0.56922986 0.59057128 0.6119127
 0.65047529 0.6753958  0.7003163  0.7252368  0.75015731 0.79808249
 0.82458687 0.85109125 0.87759562 1.        ]","[0.         0.01010101 0.02020202 0.03030303 0.04040404 0.05050505
 0.06060606 0.07070707 0.08080808 0.09090909 0.1010101  0.11111111
 0.12121212 0.13131313 0.14141414 0.15151515 0.16161616 0.17171717
 0.18181818 0.19191919 0.2020202  0.21212121 0.22222222 0.23232323
 0.24242424 0.25252525 0.26262626 0.27272727 0.28282828 0.29292929
 0.3030303  0.31313131 0.32323232 0.33333333 0.34343434 0.35353535
 0.36363636 0.37373737 0.38383838 0.39393939 0.4040404  0.41414141
 0.42424242 0.43434343 0.44444444 0.45454545 0.46464646 0.47474747
 0.48484848 0.49494949 0.50505051 0.51515152 0.52525253 0.53535354
 0.54545455 0.55555556 0.56565657 0.57575758 0.58585859 0.5959596
 0.60606061 0.61616162 0.62626263 0.63636364 0.64646465 0.65656566
 0.66666667 0.67676768 0.68686869 0.6969697  0.70707071 0.71717172
 0.72727273 0.73737374 0.74747475 0.75757576 0.76767677 0.77777778
 0.78787879 0.7979798  0.80808081 0.81818182 0.82828283 0.83838384
 0.84848485 0.85858586 0.86868687 0.87878788 0.88888889 0.8989899
 0.90909091 0.91919192 0.92929293 0.93939394 0.94949495 0.95959596
 0.96969697 0.97979798 0.98989899 1.        ]","[1.         0.99179931 0.98359862 0.97539793 0.96719724 0.95900606
 0.9509956  0.94298514 0.93497469 0.92696423 0.91906534 0.91217063
 0.90527591 0.8983812  0.89148649 0.8847616  0.87899909 0.87323659
 0.86747408 0.86171157 0.85618061 0.85157586 0.84697112 0.84236637
 0.83776162 0.83345471 0.83004132 0.82662793 0.82321454 0.81980115
 0.81662356 0.81399617 0.81136877 0.80874137 0.80611398 0.80368855
 0.80163821 0.79958788 0.79753754 0.7954872  0.79353552 0.79173181
 0.78992811 0.78812441 0.78632071 0.78449474 0.78264158 0.78078841
 0.77893524 0.77708207 0.77517842 0.77322429 0.77127015 0.76931602
 0.76736189 0.76525657 0.76302756 0.76079856 0.75856955 0.75634054
 0.75375591 0.7509342  0.74811249 0.74529078 0.74246907 0.73917045
